GSS_CD,date,GSS_NM,TotalCases,day,area_type,CTY19CD,CTY19NM,LAD19CD,LAD19NM,velocity,acceleration
E06000021,2020-03-21,Stoke-on-Trent,2,81,LAD,,,E06000021,Stoke-on-Trent,0.0,0.0
E06000021,2020-03-22,Stoke-on-Trent,2,82,LAD,,,E06000021,Stoke-on-Trent,0.0,0.0
E06000021,2020-03-23,Stoke-on-Trent,4,83,LAD,,,E06000021,Stoke-on-Trent,2.0,2.0
E06000021,2020-03-24,Stoke-on-Trent,9,84,LAD,,,E06000021,Stoke-on-Trent,5.0,3.0
E06000021,2020-03-25,Stoke-on-Trent,12,85,LAD,,,E06000021,Stoke-on-Trent,3.0,-2.0
E06000021,2020-03-26,Stoke-on-Trent,16,86,LAD,,,E06000021,Stoke-on-Trent,4.0,1.0
E06000021,2020-03-27,Stoke-on-Trent,21,87,LAD,,,E06000021,Stoke-on-Trent,5.0,1.0
E06000021,2020-03-28,Stoke-on-Trent,27,88,LAD,,,E06000021,Stoke-on-Trent,6.0,1.0
E06000021,2020-03-29,Stoke-on-Trent,28,89,LAD,,,E06000021,Stoke-on-Trent,1.0,-5.0
E06000022,2020-03-18,Bath and North East Somerset,3,78,LAD,,,E06000022,Bath and North East Somerset,,
E06000022,2020-03-19,Bath and North East Somerset,4,79,LAD,,,E06000022,Bath and North East Somerset,1.0,
E06000022,2020-03-20,Bath and North East Somerset,5,80,LAD,,,E06000022,Bath and North East Somerset,1.0,0.0
E06000022,2020-03-21,Bath and North East Somerset,11,81,LAD,,,E06000022,Bath and North East Somerset,6.0,5.0
E06000022,2020-03-22,Bath and North East Somerset,13,82,LAD,,,E06000022,Bath and North East Somerset,2.0,-4.0
E06000022,2020-03-23,Bath and North East Somerset,16,83,LAD,,,E06000022,Bath and North East Somerset,3.0,1.0
E06000022,2020-03-24,Bath and North East Somerset,17,84,LAD,,,E06000022,Bath and North East Somerset,1.0,-2.0
E06000022,2020-03-25,Bath and North East Somerset,20,85,LAD,,,E06000022,Bath and North East Somerset,3.0,2.0
E06000022,2020-03-26,Bath and North East Somerset,23,86,LAD,,,E06000022,Bath and North East Somerset,3.0,0.0
E06000022,2020-03-27,Bath and North East Somerset,26,87,LAD,,,E06000022,Bath and North East Somerset,3.0,0.0
E06000022,2020-03-28,Bath and North East Somerset,32,88,LAD,,,E06000022,Bath and North East Somerset,6.0,3.0
E06000022,2020-03-29,Bath and North East Somerset,36,89,LAD,,,E06000022,Bath and North East Somerset,4.0,-2.0
E06000023,2020-03-18,"Bristol, City of",12,78,LAD,,,E06000023,"Bristol, City of",,
E06000023,2020-03-19,"Bristol, City of",12,79,LAD,,,E06000023,"Bristol, City of",0.0,
E06000023,2020-03-20,"Bristol, City of",13,80,LAD,,,E06000023,"Bristol, City of",1.0,1.0
E06000023,2020-03-21,"Bristol, City of",20,81,LAD,,,E06000023,"Bristol, City of",7.0,6.0
